Brand,Model,Year,Horsepower,Engine_Size,Weight,Torque,Acceleration_0_100,Power_Weight,Torque_Weight,Drivetrain,Transmission
Bentley,Continental GT Speed,2023,640,6.9,5145,645,3.56,0.12439261418853255,0.12536443148688048,AWD,DCT
Mercedes-AMG,GT Black Series,2024,729,5.9,3506,765,3.04,0.20792926411865373,0.21819737592698232,AWD,DCT
Ferrari,812 Superfast,2023,807,2.2,3747,749,2.92,0.2153722978382706,0.19989324793167867,RWD,DCT
Aston Martin,Valkyrie,2023,1121,4.2,2748,1021,2.55,0.4079330422125182,0.3715429403202329,RWD,Auto
Porsche,911 Turbo S,2021,623,2.3,3657,677,2.33,0.17035821711785618,0.18512441892261416,RWD,DCT
Ferrari,812 Superfast,2020,795,2.2,3662,946,2.94,0.21709448388858546,0.2583287820862916,RWD,DCT
Ferrari,SF90 Stradale,2021,986,6.1,3716,911,2.21,0.26533907427341225,0.24515608180839613,RWD,DCT
BMW,M5 CS,2021,626,6.0,4095,666,3.04,0.15286935286935288,0.16263736263736264,RWD,Auto
Rolls-Royce,Phantom,2014,561,3.0,5846,512,5.23,0.09596305165925419,0.08758125213821416,RWD,Auto
Bugatti,Mistral,2023,1591,2.6,4489,1767,2.19,0.35442192024949876,0.39362887057251056,RWD,DCT
Rolls-Royce,Ghost,2023,579,7.3,5322,529,4.78,0.10879368658399098,0.09939872228485531,RWD,Auto
BMW,M8 Competition,2022,600,7.7,4368,663,3.12,0.13736263736263737,0.15178571428571427,AWD,Auto
Lamborghini,Aventador SVJ,2020,750,6.9,3978,859,2.83,0.1885369532428356,0.2159376571141277,AWD,Auto
McLaren,720S,2019,717,4.3,3034,717,2.83,0.23632168754119973,0.23632168754119973,AWD,DCT
McLaren,Artura,2022,646,7.6,3495,715,3.03,0.18483547925608013,0.20457796852646637,RWD,DCT
Mercedes-AMG,GT Black Series,2021,728,6.8,3535,693,3.03,0.20594059405940593,0.19603960396039605,AWD,DCT
Lamborghini,Aventador SVJ,2018,756,7.2,3895,757,2.89,0.19409499358151477,0.19435173299101413,RWD,Auto
Rolls-Royce,Ghost,2012,590,7.0,5585,690,4.6,0.10564010743061773,0.12354521038495972,RWD,Auto
Ferrari,F8 Tributo,2023,711,3.9,3288,833,2.81,0.21624087591240876,0.25334549878345497,AWD,DCT
Lamborghini,Revuelto,2024,1014,4.0,4443,1049,2.19,0.22822417285617827,0.23610173306324556,AWD,DCT
Lamborghini,Huracan EVO,2019,616,8.0,3208,726,3.19,0.19201995012468828,0.22630922693266833,RWD,DCT
Ferrari,812 Superfast,2021,790,7.0,3795,940,2.94,0.20816864295125165,0.24769433465085638,AWD,DCT
Aston Martin,DB11 AMR,2023,612,6.2,4067,564,3.66,0.15047946889599212,0.13867715761003196,RWD,Auto
Bugatti,Divo,2021,1477,7.4,4464,1719,2.32,0.33086917562724016,0.3850806451612903,RWD,DCT
Lamborghini,Aventador SVJ,2021,768,7.4,4163,819,2.78,0.18448234446312756,0.1967331251501321,RWD,Auto
Ferrari,F8 Tributo,2020,717,2.7,3225,657,2.81,0.22232558139534883,0.20372093023255813,AWD,DCT
Porsche,911 GT2 RS,2018,698,4.6,3362,645,2.71,0.20761451516954194,0.19185008923259964,AWD,DCT
Bugatti,Divo,2019,1544,2.5,4500,1506,2.37,0.3431111111111111,0.33466666666666667,RWD,DCT
Porsche,911 GT3 RS,2016,520,2.3,3253,559,3.27,0.15985244389794037,0.1718413771902859,RWD,DCT
Bentley,Flying Spur,2023,563,5.9,4955,563,3.75,0.1136226034308779,0.1136226034308779,RWD,Auto
McLaren,720S,2017,703,3.7,3191,728,2.71,0.2203071137574428,0.22814164838608586,RWD,DCT
Ferrari,F8 Tributo,2021,717,4.5,3214,801,2.86,0.22308649657747356,0.2492221530802738,AWD,DCT
McLaren,Artura,2022,644,4.9,3418,659,3.08,0.18841427735517846,0.1928028086600351,AWD,DCT
Bugatti,Divo,2021,1558,2.4,4485,1789,2.36,0.34738015607580824,0.3988851727982163,RWD,DCT
Porsche,911 Turbo S,2016,585,5.5,3644,658,2.67,0.1605378704720088,0.1805708013172338,AWD,DCT
BMW,M8 Competition,2022,616,7.7,4384,637,3.03,0.14051094890510948,0.14530109489051096,AWD,Auto
Porsche,911 Turbo S,2017,611,6.0,3583,615,2.35,0.1705274909293888,0.17164387384873012,RWD,DCT
Aston Martin,DB11 AMR,2020,617,2.5,3911,706,3.69,0.15776016364101253,0.18051649194579392,AWD,Auto
Porsche,911 GT2 RS,2020,696,7.4,3334,759,2.76,0.20875824835032994,0.22765446910617876,AWD,DCT
McLaren,765LT,2021,751,7.4,3031,764,2.69,0.24777301220719233,0.25206202573408115,RWD,DCT
Aston Martin,DBS Superleggera,2022,713,6.8,4046,753,3.34,0.17622343054869005,0.1861097380128522,RWD,Auto
Porsche,911 GT3 RS,2016,519,4.0,3268,619,3.15,0.15881272949816402,0.1894124847001224,AWD,DCT
Ferrari,812 Superfast,2017,802,6.2,3832,862,2.88,0.2092901878914405,0.22494780793319416,RWD,DCT
Lamborghini,Huracan EVO,2021,612,3.2,3254,673,2.95,0.1880762138905962,0.20682237246465887,RWD,DCT
Bugatti,Divo,2020,1530,4.8,4421,1417,2.31,0.34607554851843475,0.3205157204252432,RWD,DCT
McLaren,720S,2022,712,5.8,3154,649,2.86,0.2257450856055802,0.2057704502219404,RWD,DCT
Porsche,911 GT3 RS,2019,500,3.3,3207,562,3.06,0.15590894917368256,0.1752416588712192,RWD,DCT
Aston Martin,Valkyrie,2023,1127,2.2,2777,1170,2.52,0.40583363341735684,0.4213179690313288,RWD,Auto
Rolls-Royce,Phantom,2024,562,7.2,5837,632,5.01,0.09628233681685798,0.10827479869796128,RWD,Auto
Ferrari,812 Superfast,2017,807,2.5,3851,862,2.97,0.20955595949104128,0.22383796416515192,RWD,DCT
Mercedes-AMG,GT Black Series,2021,723,5.0,3524,797,3.04,0.20516458569807036,0.22616345062429058,RWD,DCT
Aston Martin,Valkyrie,2024,1107,4.0,2812,1183,2.41,0.3936699857752489,0.42069701280227595,AWD,Auto
McLaren,Artura,2024,645,2.9,3420,626,3.01,0.18859649122807018,0.18304093567251462,RWD,DCT
Lamborghini,Aventador SVJ,2020,758,6.2,4046,693,2.7,0.18734552644587246,0.17128027681660898,AWD,Auto
Aston Martin,Valkyrie,2024,1103,3.0,2778,1263,2.38,0.39704823614110873,0.45464362850971923,AWD,Auto
Mercedes-AMG,SL63 AMG,2022,584,3.1,4125,574,3.65,0.14157575757575758,0.13915151515151516,RWD,Auto
Ferrari,F8 Tributo,2023,716,3.7,3239,669,2.86,0.2210558814448904,0.20654523000926212,RWD,DCT
Lamborghini,Huracan EVO,2021,612,5.3,3260,618,3.04,0.18773006134969325,0.18957055214723925,RWD,DCT
McLaren,720S,2018,719,2.7,3064,677,2.7,0.23466057441253263,0.22095300261096606,RWD,DCT
Aston Martin,DB11 AMR,2020,629,7.8,3994,741,3.67,0.15748622934401602,0.18552829243865798,RWD,Auto
Bentley,Bentayga Speed,2020,631,6.3,5675,639,3.98,0.11118942731277533,0.11259911894273128,RWD,Auto
Bentley,Bentayga Speed,2020,634,3.1,5613,722,3.95,0.11295207553892748,0.1286299661500089,RWD,Auto
BMW,M8 Competition,2023,612,4.6,4341,622,3.16,0.1409813407049067,0.14328495738309147,RWD,Auto
Ferrari,F8 Tributo,2021,700,4.1,3122,722,2.86,0.2242152466367713,0.23126201153106982,RWD,DCT
McLaren,765LT,2024,757,7.6,3053,823,2.62,0.2479528332787422,0.26957091385522436,AWD,DCT
Bentley,Flying Spur,2023,554,7.4,4910,601,3.86,0.11283095723014257,0.12240325865580448,AWD,Auto
Aston Martin,DBS Superleggera,2019,712,6.6,4088,647,3.31,0.17416829745596868,0.15826810176125244,AWD,Auto
Porsche,911 GT3 RS,2021,512,4.4,3246,590,3.04,0.15773259396179914,0.18176216882316698,AWD,DCT
Bugatti,Chiron,2019,1545,6.2,4444,1724,2.36,0.34765976597659765,0.38793879387938796,RWD,DCT
Bugatti,Mistral,2024,1587,4.8,4403,1706,2.18,0.36043606631841923,0.38746309334544626,AWD,DCT
BMW,M5 CS,2022,626,2.6,4110,699,3.02,0.15231143552311435,0.17007299270072992,AWD,Auto
Bugatti,Chiron,2023,1575,2.5,4491,1594,2.31,0.35070140280561124,0.3549320863950122,RWD,DCT
Mercedes-AMG,SL63 AMG,2022,599,7.0,4356,559,3.7,0.13751147842056932,0.1283287419651056,RWD,Auto
Mercedes-AMG,GT Black Series,2023,725,4.3,3554,701,2.98,0.2039954980303883,0.1972425436128306,AWD,DCT
BMW,M5 CS,2021,634,7.5,4034,646,3.01,0.15716410510659395,0.16013882002974714,RWD,Auto
McLaren,Artura,2023,666,7.5,3316,716,3.0,0.2008443908323281,0.21592279855247287,RWD,DCT
Mercedes-AMG,GT63 S,2022,605,5.8,4660,610,3.17,0.1298283261802575,0.13090128755364808,RWD,Auto
Bugatti,Chiron,2022,1550,7.2,4483,1608,2.36,0.3457506134285077,0.3586883783180906,RWD,DCT
Bentley,Continental GT Speed,2021,630,3.3,5123,579,3.65,0.12297481944173336,0.11301971501073589,AWD,DCT
Porsche,911 Turbo S,2022,609,6.7,3693,651,2.33,0.16490658001624695,0.17627944760357434,RWD,DCT
McLaren,765LT,2023,750,2.6,3063,786,2.75,0.24485798237022527,0.2566111655239961,RWD,DCT
Rolls-Royce,Phantom,2012,549,2.9,5761,561,5.01,0.09529595556327027,0.09737892726957126,AWD,Auto
Bentley,Continental GT Speed,2023,652,2.1,4966,631,3.63,0.13129279097865484,0.12706403544099878,RWD,DCT
Bugatti,Mistral,2023,1578,3.5,4391,1532,2.12,0.35937144158506035,0.34889546800273286,AWD,DCT
Bentley,Flying Spur,2022,555,3.9,4964,522,3.82,0.11180499597099114,0.10515713134568896,RWD,Auto
BMW,XM Label Red,2023,741,5.5,5984,672,3.65,0.12383021390374331,0.11229946524064172,RWD,Auto
McLaren,720S,2023,704,4.2,3147,704,2.87,0.22370511598347634,0.22370511598347634,RWD,DCT
Lamborghini,Huracan EVO,2023,615,3.3,3321,620,3.16,0.18518518518518517,0.18669075579644687,AWD,DCT
Bentley,Continental GT Speed,2024,659,3.1,5019,787,3.59,0.13130105598724845,0.156804144251843,RWD,DCT
Porsche,911 GT3 RS,2024,507,7.0,3224,495,3.04,0.15725806451612903,0.15353598014888337,AWD,DCT
BMW,M5 CS,2021,626,2.7,4036,566,3.08,0.15510406342913777,0.1402378592666006,RWD,Auto
Aston Martin,Valkyrie,2022,1136,2.8,2821,1267,2.33,0.40269408011343494,0.4491315136476427,RWD,Auto
Aston Martin,DB11 AMR,2019,611,4.5,3952,582,3.68,0.15460526315789475,0.14726720647773278,RWD,Auto
BMW,M8 Competition,2021,610,3.5,4492,564,3.12,0.13579697239536956,0.12555654496883348,RWD,Auto
Bentley,Bentayga Speed,2023,646,4.9,5786,638,3.87,0.11164880746629796,0.11026615969581749,AWD,Auto
Aston Martin,Valkyrie,2022,1155,3.0,2732,1133,2.46,0.42276720351390923,0.41471449487554907,AWD,Auto
Porsche,911 GT3 RS,2017,508,5.0,3272,468,3.22,0.1552567237163814,0.1430317848410758,AWD,DCT
BMW,M5 CS,2021,627,7.8,4130,578,2.9,0.15181598062953996,0.13995157384987894,RWD,Auto
Ferrari,F8 Tributo,2023,716,5.1,3288,814,2.87,0.21776155717761558,0.2475669099756691,RWD,DCT
Bentley,Bentayga Speed,2024,646,7.4,5717,704,3.99,0.11299632674479622,0.1231415077838027,AWD,Auto
BMW,M5 CS,2021,634,8.0,4046,579,3.02,0.15669797330696986,0.1431043005437469,RWD,Auto
Aston Martin,Valkyrie,2024,1113,7.5,2778,1234,2.39,0.4006479481641469,0.44420446364290855,AWD,Auto
Rolls-Royce,Ghost,2011,580,3.4,5402,528,4.64,0.10736764161421695,0.09774157719363198,RWD,Auto
McLaren,Artura,2022,679,6.8,3482,693,3.06,0.19500287191269386,0.1990235496840896,RWD,DCT
Aston Martin,DBS Superleggera,2023,701,3.4,3960,817,3.32,0.17702020202020202,0.2063131313131313,RWD,Auto
BMW,M8 Competition,2022,612,2.4,4440,621,3.19,0.13783783783783785,0.13986486486486485,RWD,Auto
Porsche,911 Turbo S,2023,632,6.6,3565,734,2.69,0.17727910238429173,0.20589060308555399,RWD,DCT
Rolls-Royce,Ghost,2010,579,3.7,5476,540,4.54,0.10573411249086925,0.09861212563915267,RWD,Auto
Bugatti,Chiron,2016,1522,6.1,4478,1565,2.34,0.3398838767306833,0.3494863778472532,RWD,DCT
BMW,M5 CS,2021,629,7.7,4123,644,3.08,0.15255881639582827,0.15619694397283532,RWD,Auto
McLaren,720S,2023,719,5.9,3003,697,2.89,0.23942723942723942,0.2321012321012321,AWD,DCT
BMW,XM Label Red,2024,743,4.1,6068,710,3.83,0.12244561634805537,0.11700725115359262,RWD,Auto
Rolls-Royce,Ghost,2018,584,4.4,5319,699,4.47,0.10979507426207934,0.1314156796390299,AWD,Auto
Porsche,911 GT2 RS,2020,695,5.6,3262,672,2.71,0.21305947271612508,0.20600858369098712,RWD,DCT
McLaren,Artura,2022,642,7.7,3422,602,3.09,0.18760958503798947,0.17592051431911163,AWD,DCT
Mercedes-AMG,GT63 S,2019,604,3.6,4725,617,3.11,0.12783068783068782,0.13058201058201058,AWD,Auto
BMW,M8 Competition,2024,615,5.0,4327,567,3.17,0.14213080656343888,0.13103767044141437,RWD,Auto
Ferrari,SF90 Stradale,2022,989,7.3,3639,1057,2.13,0.27177796097829077,0.2904644133003572,AWD,DCT
Bentley,Continental GT Speed,2023,642,2.6,5006,623,3.69,0.12824610467439074,0.12445065920894927,AWD,DCT
Rolls-Royce,Ghost,2020,594,2.8,5548,539,4.73,0.10706560922855082,0.0971521268925739,RWD,Auto
Rolls-Royce,Phantom,2011,543,2.0,5857,624,5.2,0.09270957828239713,0.10653918388253372,RWD,Auto
Porsche,911 Turbo S,2010,619,6.7,3647,674,2.52,0.16972854400877432,0.18480943241020018,RWD,DCT
Rolls-Royce,Wraith,2022,611,6.5,5262,621,4.25,0.1161155454199924,0.11801596351197263,AWD,Auto
Lamborghini,Aventador SVJ,2021,766,4.1,3811,704,2.82,0.20099711361847283,0.18472841773812648,AWD,Auto
McLaren,765LT,2024,761,6.9,3074,772,2.61,0.2475601821730644,0.2511385816525699,RWD,DCT
Ferrari,812 Superfast,2018,802,7.7,3675,760,2.89,0.2182312925170068,0.20680272108843537,RWD,DCT
Mercedes-AMG,GT63 S,2023,628,6.1,4574,606,3.02,0.13729777000437254,0.1324879755137735,AWD,Auto
Ferrari,F8 Tributo,2021,711,4.5,3283,732,2.89,0.21657021017362169,0.2229667986597624,AWD,DCT
Aston Martin,DB11 AMR,2018,604,6.3,4030,600,3.56,0.1498759305210918,0.1488833746898263,AWD,Auto
Ferrari,F8 Tributo,2020,711,7.8,3117,824,2.85,0.22810394610202117,0.26435675328841834,RWD,DCT
Porsche,911 Turbo S,2014,587,2.1,3628,608,2.51,0.1617971334068357,0.16758544652701213,AWD,DCT
Bugatti,Divo,2021,1489,5.6,4445,1546,2.3,0.3349831271091114,0.34780652418447694,AWD,DCT
Lamborghini,Huracan EVO,2024,625,4.0,3348,592,3.1,0.18667861409796893,0.1768219832735962,RWD,DCT
Bentley,Bentayga Speed,2024,646,4.4,5671,671,3.9,0.11391289014283196,0.1183212837242109,AWD,Auto
Aston Martin,DB11 AMR,2022,624,6.3,3932,739,3.68,0.15869786368260427,0.18794506612410986,AWD,Auto
Mercedes-AMG,GT Black Series,2024,728,5.7,3545,686,2.95,0.20535966149506346,0.1935119887165021,AWD,DCT
BMW,M8 Competition,2023,600,2.5,4301,636,3.18,0.13950244129272263,0.14787258777028597,AWD,Auto
BMW,M8 Competition,2021,605,6.9,4402,580,3.14,0.13743752839618356,0.13175829168559747,RWD,Auto
Porsche,911 GT2 RS,2018,692,2.3,3372,629,2.79,0.20521945432977462,0.1865361803084223,RWD,DCT
McLaren,765LT,2023,763,2.5,3033,764,2.76,0.25156610616551267,0.2518958127266733,AWD,DCT
Lamborghini,Aventador SVJ,2019,752,2.5,3926,795,2.85,0.19154355578196638,0.20249617931737138,RWD,Auto
Rolls-Royce,Ghost,2018,594,4.0,5542,573,4.79,0.10718152291591483,0.10339227715626127,RWD,Auto
Rolls-Royce,Ghost,2016,581,3.4,5599,619,4.69,0.10376853009465976,0.11055545633148776,AWD,Auto
Mercedes-AMG,GT63 S,2021,627,4.5,4701,640,3.07,0.1333758774728781,0.13614124654328866,RWD,Auto
Rolls-Royce,Ghost,2023,570,5.8,5458,584,4.74,0.1044338585562477,0.10699890069622572,AWD,Auto
Lamborghini,Aventador SVJ,2018,768,4.4,3895,826,2.71,0.19717586649550706,0.21206675224646984,AWD,Auto
McLaren,765LT,2021,752,4.3,3064,740,2.67,0.2454308093994778,0.24151436031331594,RWD,DCT
Bugatti,Mistral,2023,1580,3.1,4325,1761,2.28,0.3653179190751445,0.4071676300578035,RWD,DCT
McLaren,Artura,2022,644,7.2,3465,674,3.02,0.18585858585858586,0.1945165945165945,RWD,DCT
Bentley,Bentayga Speed,2020,649,3.9,5729,602,3.9,0.11328329551405132,0.1050794204922325,RWD,Auto
Ferrari,F8 Tributo,2020,700,3.4,3267,755,2.84,0.21426385062748698,0.23109886746250383,RWD,DCT
BMW,XM Label Red,2024,744,4.6,5992,744,3.85,0.12416555407209613,0.12416555407209613,RWD,Auto
Porsche,911 Turbo S,2015,599,6.0,3577,545,2.59,0.16745876432764886,0.15236231478892928,RWD,DCT
Porsche,911 GT2 RS,2020,695,7.9,3357,738,2.61,0.20703008638665474,0.21983914209115282,RWD,DCT
Bugatti,Divo,2019,1470,3.9,4434,1522,2.39,0.33152909336941816,0.3432566531348669,RWD,DCT
BMW,M5 CS,2022,632,7.8,4042,572,2.96,0.15635823849579417,0.14151410192973776,RWD,Auto
Bentley,Bentayga Speed,2022,647,2.2,5750,711,3.74,0.11252173913043478,0.12365217391304348,RWD,Auto
McLaren,765LT,2023,756,6.0,2957,900,2.62,0.2556645248562732,0.3043625295908015,RWD,DCT
Bugatti,Mistral,2024,1592,4.2,4333,1748,2.3,0.36741287791368565,0.403415647357489,RWD,DCT
McLaren,720S,2018,707,7.6,3046,757,2.71,0.23210768220617203,0.2485226526592252,AWD,DCT
Porsche,911 Turbo S,2012,610,2.6,3691,621,2.56,0.16526686534814414,0.16824708751015985,AWD,DCT
McLaren,765LT,2020,750,5.4,3038,870,2.76,0.2468729427254773,0.28637261356155364,AWD,DCT
Lamborghini,Aventador SVJ,2022,755,6.6,3931,830,2.86,0.19206308827270416,0.21114220300178071,AWD,Auto
Ferrari,F8 Tributo,2022,700,4.0,3187,692,2.86,0.21964229683087544,0.2171320991528083,AWD,DCT
BMW,XM Label Red,2023,739,3.4,6046,751,3.73,0.12222957327158451,0.12421435659940457,RWD,Auto
Aston Martin,Valkyrie,2024,1134,5.0,2809,1239,2.53,0.40370238519045926,0.4410822356710573,RWD,Auto
Bentley,Flying Spur,2023,565,5.5,4952,572,3.82,0.11409531502423263,0.11550888529886914,RWD,Auto
Rolls-Royce,Wraith,2015,621,4.6,5322,656,4.45,0.11668545659526494,0.1232619316046599,AWD,Auto
Bugatti,Mistral,2023,1581,4.1,4350,1451,2.29,0.36344827586206896,0.3335632183908046,RWD,DCT
Lamborghini,Huracan EVO,2022,623,5.5,3126,734,3.06,0.19929622520793347,0.2348048624440179,RWD,DCT
McLaren,765LT,2020,762,2.7,3081,873,2.7,0.24732229795520935,0.28334956183057447,AWD,DCT
Rolls-Royce,Ghost,2024,556,7.8,5540,595,4.5,0.1003610108303249,0.10740072202166065,RWD,Auto
Rolls-Royce,Wraith,2014,621,2.0,5319,656,4.23,0.116751269035533,0.12333145328069187,AWD,Auto
Bugatti,Divo,2019,1495,4.2,4408,1635,2.32,0.33915607985480944,0.3709165154264973,AWD,DCT
Bentley,Continental GT Speed,2024,656,7.1,4936,649,3.65,0.13290113452188007,0.13148298217179902,AWD,DCT
Mercedes-AMG,SL63 AMG,2014,580,7.2,4341,548,3.55,0.1336097673347155,0.1262381939645243,RWD,Auto
Bugatti,Chiron,2021,1517,5.3,4436,1657,2.36,0.3419747520288548,0.3735347159603246,RWD,DCT
Mercedes-AMG,SL63 AMG,2020,578,4.7,4390,623,3.64,0.1316628701594533,0.14191343963553532,RWD,Auto
Mercedes-AMG,GT Black Series,2023,726,6.3,3523,681,2.83,0.20607436843599206,0.1933011637808686,RWD,DCT
Rolls-Royce,Ghost,2023,585,4.4,5531,639,4.64,0.10576749231603688,0.11553064545290183,RWD,Auto
Aston Martin,DBS Superleggera,2022,712,2.4,3848,818,3.33,0.18503118503118504,0.21257796257796258,AWD,Auto
Bentley,Flying Spur,2021,606,6.0,5099,604,3.8,0.11884683271229653,0.11845459894096881,AWD,Auto
McLaren,765LT,2020,752,5.5,3047,777,2.67,0.24680013127666559,0.25500492287495896,RWD,DCT
Bugatti,Chiron,2024,1524,6.9,4479,1558,2.34,0.3402545210984595,0.34784550122795266,RWD,DCT
Bentley,Bentayga Speed,2024,648,6.6,5703,587,3.92,0.11362440820620726,0.10292828335963528,RWD,Auto
Bugatti,Divo,2020,1551,7.0,4471,1747,2.31,0.3469022590024603,0.3907403265488705,AWD,DCT
McLaren,720S,2022,703,2.5,3150,688,2.77,0.22317460317460316,0.21841269841269842,AWD,DCT
Mercedes-AMG,GT Black Series,2023,722,7.2,3551,710,3.08,0.20332300760349198,0.19994367783722894,RWD,DCT
Aston Martin,DB11 AMR,2024,621,7.6,3959,717,3.54,0.15685779237181105,0.18110633998484466,RWD,Auto
McLaren,720S,2019,709,3.3,3157,791,2.73,0.22458029775102945,0.25055432372505543,AWD,DCT
Bugatti,Mistral,2024,1579,5.8,4462,1585,2.3,0.3538771851187808,0.3552218735992828,AWD,DCT
Mercedes-AMG,GT Black Series,2022,720,7.4,3535,778,2.84,0.2036775106082037,0.2200848656294201,AWD,DCT
Lamborghini,Revuelto,2023,1008,2.4,4433,951,2.21,0.22738551770809837,0.21452740807579518,RWD,DCT
Mercedes-AMG,GT63 S,2022,612,3.9,4511,728,3.13,0.13566836621591666,0.16138328530259366,RWD,Auto
McLaren,720S,2020,705,5.9,3159,680,2.82,0.22317188983855651,0.2152579930357708,RWD,DCT
Ferrari,F8 Tributo,2022,701,6.5,3109,675,2.85,0.2254744290768736,0.2171116114506272,AWD,DCT
Mercedes-AMG,GT63 S,2021,608,3.6,4598,560,3.23,0.1322314049586777,0.12179208351457155,RWD,Auto
Porsche,911 GT2 RS,2018,694,5.9,3352,670,2.63,0.20704057279236276,0.19988066825775655,AWD,DCT
McLaren,Artura,2022,674,3.1,3306,712,3.05,0.20387174833635813,0.21536600120992136,RWD,DCT
Bugatti,Divo,2021,1471,3.6,4461,1536,2.3,0.3297466935664649,0.34431741761936785,AWD,DCT
BMW,XM Label Red,2023,735,7.9,5912,664,3.67,0.1243234100135318,0.11231393775372124,AWD,Auto
Lamborghini,Huracan EVO,2021,626,3.6,3287,684,3.05,0.19044721630666261,0.20809248554913296,RWD,DCT
Lamborghini,Aventador SVJ,2021,765,5.7,4051,838,2.86,0.18884226117008146,0.20686250308565787,AWD,Auto
BMW,M5 CS,2022,625,7.7,4104,581,3.03,0.15229044834307992,0.1415692007797271,AWD,Auto
Porsche,911 GT3 RS,2017,525,4.3,3220,602,3.15,0.16304347826086957,0.18695652173913044,RWD,DCT
Porsche,911 GT2 RS,2018,696,7.9,3337,810,2.62,0.20857057237039256,0.2427329937069224,RWD,DCT
Bentley,Continental GT Speed,2022,654,2.4,4986,729,3.51,0.13116726835138387,0.14620938628158844,RWD,DCT
Bugatti,Chiron,2023,1527,6.6,4430,1510,2.33,0.34469525959367947,0.34085778781038373,AWD,DCT
